,game_id,game_date,matchup,team_id,is_home,wl,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,a_team_id,season_year,season_type,season
,21500994,2016-03-14,CLE @ UTA,1610612762,t,W,32,35,0.478,240,35,71,0.493,12,27,0.444,12,14,1,8,32,40,20,3,4,12,15,94,1610612739,2015,Regular Season,2015-16
,21500994,2016-03-14,UTA vs. CLE,1610612739,f,L,47,19,0.712,240,35,88,0.398,10,43,0.233,5,8,1,13,26,39,18,6,3,8,16,85,1610612762,2015,Regular Season,2015-16
,21500989,2016-03-14,WAS vs. DET,1610612765,f,L,34,33,0.507,240,32,79,0.405,3,23,0.13,14,22,1,11,28,39,17,5,4,20,21,81,1610612764,2015,Regular Season,2015-16
,21500986,2016-03-13,SAC vs. UTA,1610612762,f,W,31,35,0.47,240,39,82,0.476,12,28,0.429,18,22,1,11,36,47,26,8,3,16,22,108,1610612758,2015,Regular Season,2015-16
,21500987,2016-03-13,LAL vs. NYK,1610612752,f,W,28,40,0.412,240,33,75,0.44,5,21,0.238,19,27,1,5,40,45,19,5,6,10,16,90,1610612747,2015,Regular Season,2015-16
,21500986,2016-03-13,UTA @ SAC,1610612758,t,L,25,40,0.385,240,38,81,0.469,9,21,0.429,14,21,1,8,28,36,25,8,5,10,20,99,1610612762,2015,Regular Season,2015-16
,21500987,2016-03-13,NYK @ LAL,1610612747,t,L,14,53,0.209,240,34,85,0.4,3,16,0.188,16,21,1,10,35,45,14,6,2,9,20,87,1610612752,2015,Regular Season,2015-16
,21500983,2016-03-13,LAC vs. CLE,1610612739,f,W,47,18,0.723,240,41,84,0.488,18,37,0.486,14,20,1,9,40,49,23,3,4,8,19,114,1610612746,2015,Regular Season,2015-16
,21500983,2016-03-13,CLE @ LAC,1610612746,t,L,42,23,0.646,240,32,79,0.405,10,32,0.313,16,19,1,5,29,34,23,5,4,10,23,90,1610612739,2015,Regular Season,2015-16
,21500974,2016-03-12,MEM @ ATL,1610612737,t,W,37,29,0.561,240,36,84,0.429,11,34,0.324,12,17,1,8,39,47,27,9,12,11,14,95,1610612763,2015,Regular Season,2015-16
,21500974,2016-03-12,ATL vs. MEM,1610612763,f,L,39,27,0.591,240,33,95,0.347,6,23,0.261,11,14,1,20,38,58,15,10,5,16,14,83,1610612737,2015,Regular Season,2015-16
,21500975,2016-03-12,HOU @ CHA,1610612766,t,W,37,28,0.569,240,48,88,0.545,15,31,0.484,14,16,1,10,34,44,28,6,5,11,25,125,1610612745,2015,Regular Season,2015-16
,21500975,2016-03-12,CHA vs. HOU,1610612745,f,L,33,33,0.5,240,43,93,0.462,5,26,0.192,18,28,1,14,26,40,21,8,5,9,20,109,1610612766,2015,Regular Season,2015-16
,21500982,2016-03-12,POR vs. ORL,1610612753,f,L,28,37,0.431,240,34,91,0.374,7,26,0.269,9,18,0,11,28,39,19,6,4,15,16,84,1610612757,2015,Regular Season,2015-16
,21500979,2016-03-12,OKC @ SAS,1610612759,t,W,56,10,0.848,240,34,85,0.4,4,24,0.167,21,25,1,13,31,44,17,12,3,11,17,93,1610612760,2015,Regular Season,2015-16
,21500979,2016-03-12,SAS vs. OKC,1610612760,f,L,44,22,0.667,240,31,81,0.383,2,18,0.111,21,25,1,18,38,56,18,7,2,19,23,85,1610612759,2015,Regular Season,2015-16
,21500977,2016-03-12,MIA @ TOR,1610612761,t,W,44,20,0.688,265,37,84,0.44,6,18,0.333,32,38,1,7,35,42,17,10,7,13,23,112,1610612748,2015,Regular Season,2015-16
,21500973,2016-03-12,DAL vs. IND,1610612754,f,W,35,30,0.538,240,38,81,0.469,9,28,0.321,27,29,1,9,33,42,24,10,6,14,25,112,1610612742,2015,Regular Season,2015-16
,21500982,2016-03-12,ORL @ POR,1610612757,t,W,35,32,0.522,240,47,84,0.56,17,35,0.486,10,11,1,9,42,51,34,2,3,15,20,121,1610612753,2015,Regular Season,2015-16
,21500973,2016-03-12,IND @ DAL,1610612742,t,L,33,33,0.5,240,41,85,0.482,8,22,0.364,15,18,1,7,33,40,30,7,1,13,21,105,1610612754,2015,Regular Season,2015-16
,21500977,2016-03-12,TOR vs. MIA,1610612748,f,L,38,28,0.576,265,37,98,0.378,9,25,0.36,21,26,1,16,31,47,19,9,5,13,30,104,1610612761,2015,Regular Season,2015-16
,21500978,2016-03-12,NOP @ MIL,1610612749,t,W,28,38,0.424,240,40,81,0.494,4,13,0.308,19,24,1,5,37,42,22,11,6,14,16,103,1610612740,2015,Regular Season,2015-16
,21500978,2016-03-12,MIL vs. NOP,1610612740,f,L,24,41,0.369,240,35,89,0.393,6,29,0.207,16,21,1,11,36,47,19,7,4,16,19,92,1610612749,2015,Regular Season,2015-16
,21500971,2016-03-11,GSW vs. POR,1610612757,f,L,34,32,0.515,240,37,86,0.43,19,36,0.528,19,23,1,7,32,39,20,4,4,8,23,112,1610612744,2015,Regular Season,2015-16
,21500971,2016-03-11,POR @ GSW,1610612744,t,W,58,6,0.906,240,40,89,0.449,18,40,0.45,30,39,1,16,40,56,23,5,6,8,20,128,1610612757,2015,Regular Season,2015-16
,21500963,2016-03-11,CHA vs. DET,1610612765,f,L,33,32,0.508,240,36,76,0.474,9,30,0.3,22,27,1,3,30,33,19,7,4,12,21,103,1610612766,2015,Regular Season,2015-16
,21500970,2016-03-11,SAC vs. ORL,1610612753,f,W,28,36,0.438,240,41,79,0.519,4,15,0.267,21,34,1,12,39,51,22,11,8,19,23,107,1610612758,2015,Regular Season,2015-16
,21500965,2016-03-11,HOU @ BOS,1610612738,t,L,39,27,0.591,240,34,91,0.374,8,31,0.258,22,28,1,14,31,45,24,14,3,14,17,98,1610612745,2015,Regular Season,2015-16
,21500963,2016-03-11,DET @ CHA,1610612766,t,W,36,28,0.563,240,42,83,0.506,10,25,0.4,24,29,1,9,28,37,28,9,5,10,19,118,1610612765,2015,Regular Season,2015-16
,21500970,2016-03-11,ORL @ SAC,1610612758,t,L,25,39,0.391,240,35,88,0.398,8,25,0.32,22,25,1,12,25,37,23,9,4,17,22,100,1610612753,2015,Regular Season,2015-16
,21500965,2016-03-11,BOS vs. HOU,1610612745,f,W,33,32,0.508,240,40,88,0.455,5,26,0.192,17,25,1,15,35,50,19,8,3,17,21,102,1610612738,2015,Regular Season,2015-16
